Row,Column,Well,Plate,Sample,Measurement,Value,Mean,Std
F,6,F06,11939,2P-M_Glc,Meas A,340.0,338.0000,148.2093
F,7,F07,11939,3P-M_Glc,Meas A,319.0,309.5000,100.9967
F,8,F08,11939,1S-M_Glc,Meas A,365.0,317.0000,135.8111
F,9,F09,11939,2S-M_Glc,Meas A,355.0,325.5000,115.7425
F,10,F10,11939,3S-M_Glc,Meas A,382.0,347.5000,159.1153
G,2,G02,11939,1M-M_Glc,Meas A,330.0,328.5000,158.1697
G,3,G03,11939,2M-H_CAA,Meas A,370.0,343.2500,154.9244
G,4,G04,11939,3M-H_CAA,Meas A,372.0,358.2500,106.7157
G,5,G05,11939,1P-H_CAA,Meas A,327.0,279.2500,106.1771
G,6,G06,11939,2P-H_CAA,Meas A,344.0,294.0000,113.9971
